sha,file,type,begin,end
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDTFGetSplits.java,CHANGE_SIGNATURE,418,563
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDTFGetSplits.java,CHANGE_SIGNATURE,266,412
d6668c705da3b4afb4ae3e113e21ae5f0c53b8ae,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDTFGetSplits.java,EXTRACT,219,223
48ae7ef8d46c29918364a3af8f5f2fba3e92fd30,ql/src/java/org/apache/hadoop/hive/ql/metadata/SessionHiveMetaStoreClient.java,CHANGE_SIGNATURE,1771,1806
48ae7ef8d46c29918364a3af8f5f2fba3e92fd30,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/client/TestExchangePartitions.java,EXTRACT,1188,1193
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/ImportTableDesc.java,CHANGE_SIGNATURE,330,339
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/GroupByDesc.java,CHANGE_SIGNATURE,242,244
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactory.java,CHANGE_SIGNATURE,70,71
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactoryImpl.java,CHANGE_SIGNATURE,137,154
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactory.java,CHANGE_SIGNATURE,61,62
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactoryImpl.java,CHANGE_SIGNATURE,367,372
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/ParseContext.java,CHANGE_SIGNATURE,338,340
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,948,959
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/GroupByDesc.java,CHANGE_SIGNATURE,195,197
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/GroupByDesc.java,CHANGE_SIGNATURE,83,98
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/QueryPlan.java,CHANGE_SIGNATURE,743,745
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/AggregationDesc.java,CHANGE_SIGNATURE,51,60
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/TaskCompiler.java,CHANGE_SIGNATURE,122,405
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,4817,4826
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactoryImpl.java,CHANGE_SIGNATURE,192,223
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactoryImpl.java,CHANGE_SIGNATURE,155,181
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactoryImpl.java,CHANGE_SIGNATURE,351,365
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/GroupByDesc.java,CHANGE_SIGNATURE,100,125
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/optimizer/ppr/OpWalkerCtx.java,CHANGE_SIGNATURE,39,44
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactoryImpl.java,CHANGE_SIGNATURE,75,81
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/ParseContext.java,CHANGE_SIGNATURE,426,433
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactoryImpl.java,CHANGE_SIGNATURE,82,88
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/MoveWork.java,CHANGE_SIGNATURE,144,146
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/QBJoinTree.java,CHANGE_SIGNATURE,272,285
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/TableSample.java,CHANGE_SIGNATURE,59,74
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/AggregationDesc.java,CHANGE_SIGNATURE,116,118
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,881,946
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/QBParseInfo.java,CHANGE_SIGNATURE,173,179
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,9501,9567
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/plan/PlanUtils.java,CHANGE_SIGNATURE,672,691
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/authorization/HiveAuthorizationTaskFactory.java,CHANGE_SIGNATURE,58,59
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/exec/RowSchema.java,CHANGE_SIGNATURE,47,49
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/QBJoinTree.java,CHANGE_SIGNATURE,144,146
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,CHANGE_SIGNATURE,14757,14760
cf6cbda04db6a2db7828ceee525208c014ff9fd3,ql/src/java/org/apache/hadoop/hive/ql/parse/ParseContext.java,CHANGE_SIGNATURE,145,246
